time;15:49:50
100839.88;22.10;409
100839.88;22.10;410
100839.88;22.10;411
100839.88;22.10;412
100839.52;22.10;413
100839.52;22.10;414
100838.80;22.09;415
100838.44;22.09;416
100838.44;22.09;417
100838.44;22.09;418
100838.44;22.09;419
100838.44;22.09;420
100838.44;22.09;421
100838.44;22.09;422
100837.35;22.09;423
100837.35;22.09;424
100836.65;22.09;425
100836.65;22.09;426
100836.30;22.09;427
100835.59;22.09;428
100835.59;22.09;429
100835.59;22.09;430
100834.89;22.09;431
100834.19;22.09;432
100833.47;22.09;433
100833.47;22.09;434
100832.77;22.09;435
100832.40;22.09;436
100832.40;22.09;437
100831.69;22.09;438
100830.61;22.08;439
100830.61;22.08;440
100830.61;22.08;441
100829.91;22.08;442
100829.20;22.08;443
100829.20;22.08;444
100828.49;22.08;445
100828.12;22.08;446
100828.12;22.08;447
100827.41;22.08;448
100827.41;22.08;449
100827.41;22.08;450
100827.41;22.08;451
100826.70;22.08;452
100825.62;22.08;453
100825.62;22.08;454
100825.62;22.08;455
100824.92;22.08;456
100824.92;22.08;457
100824.92;22.08;458
100824.22;22.08;459
100823.84;22.08;460
100823.13;22.08;461
100822.43;22.08;462
100822.43;22.08;463
100821.72;22.08;464
100821.02;22.08;465
100820.64;22.07;466
100820.64;22.07;467
100820.64;22.07;468
100819.94;22.07;469
100819.23;22.07;470
100819.23;22.07;471
100818.52;22.07;472
100817.44;22.07;473
100817.44;22.07;474
100817.09;22.07;475
100817.09;22.07;476
100816.39;22.07;477
100816.39;22.07;478
100815.69;22.07;479
100814.98;22.07;480
100814.61;22.07;481
100813.90;22.07;482
100813.90;22.07;483
100813.90;22.07;484
100813.19;22.07;485
100812.82;22.06;486
100812.11;22.06;487
100811.41;22.06;488
100811.41;22.06;489
100811.41;22.06;490
100810.70;22.06;491
100809.99;22.06;492
100809.99;22.06;493
100809.28;22.06;494
100809.28;22.06;495
100809.28;22.06;496
100809.28;22.06;497
100809.28;22.06;498
100808.58;22.06;499
100808.58;22.06;500
100807.88;22.06;501
100807.88;22.06;502
100807.88;22.06;503
100807.17;22.06;504
100806.80;22.06;505
100806.80;22.06;506
100806.80;22.06;507
100806.09;22.06;508
100806.80;22.06;509
100806.09;22.06;510
100805.38;22.06;511
100805.01;22.06;512
100804.30;22.06;513
100804.30;22.06;514
100803.59;22.06;515
100803.59;22.06;516
100803.59;22.06;517
100803.59;22.06;518
100803.59;22.06;519
100802.52;22.06;520
100802.52;22.06;521
100801.81;22.06;522
100801.81;22.06;523
100801.10;22.06;524
100801.10;22.06;525
100800.40;22.06;526
100800.40;22.06;527
100800.40;22.06;528
100799.31;22.05;529
100798.61;22.05;530
100798.61;22.05;531
100797.91;22.05;532
100797.91;22.05;533
100797.91;22.05;534
100797.20;22.05;535
100796.83;22.05;536
100796.83;22.05;537
100796.12;22.05;538
100796.12;22.05;539
100795.41;22.05;540
100795.41;22.05;541
100794.70;22.05;542
100794.70;22.05;543
100794.70;22.05;544
100794.34;22.05;545
100794.34;22.05;546
100794.70;22.05;547
100794.00;22.05;548
100794.00;22.05;549
100793.29;22.05;550
100793.29;22.05;551
100792.92;22.05;552
100792.22;22.05;553
100792.22;22.05;554
100792.22;22.05;555
100792.22;22.05;556
100791.50;22.05;557
100791.50;22.05;558
100791.50;22.05;559
100790.80;22.05;560
100790.80;22.05;561
100790.80;22.05;562
100789.38;22.05;563
100789.05;22.05;564
100789.05;22.05;565
100788.34;22.05;566
100788.34;22.05;567
100787.62;22.05;568
100787.62;22.05;569
100786.55;22.04;570
100786.92;22.05;571
100786.22;22.05;572
100785.84;22.04;573
100785.52;22.05;574
100784.80;22.05;575
100784.09;22.05;576
100783.39;22.05;577
100782.31;22.04;578
100781.97;22.05;579
100781.97;22.05;580
100781.27;22.05;581
100781.27;22.05;582
100780.56;22.05;583
100780.56;22.05;584
100779.48;22.04;585
100779.48;22.04;586
100779.15;22.05;587
100778.44;22.05;588
100777.73;22.05;589
100777.36;22.04;590
100777.73;22.05;591
100777.36;22.04;592
100777.36;22.04;593
100777.73;22.05;594
100776.66;22.04;595
100776.66;22.04;596
100775.95;22.04;597
100775.95;22.04;598
100775.24;22.04;599
100774.53;22.04;600
100774.53;22.04;601
100773.83;22.04;602
100773.83;22.04;603
100773.12;22.04;604
100772.41;22.04;605
100771.70;22.04;606
100771.70;22.04;607
100771.38;22.05;608
100770.30;22.04;609
100770.30;22.04;610
100769.95;22.05;611
100769.95;22.05;612
100769.25;22.05;613
100768.55;22.05;614
100768.55;22.05;615
100767.84;22.05;616
100767.13;22.05;617
100766.42;22.05;618
100765.72;22.05;619
100765.02;22.05;620
100765.02;22.05;621
100764.30;22.05;622
100763.59;22.05;623
100762.89;22.05;624
100762.19;22.05;625
100761.48;22.05;626
100760.77;22.05;627
100760.06;22.05;628
100758.65;22.05;629
100758.65;22.05;630
100757.95;22.05;631
100757.23;22.05;632
100756.53;22.05;633
100755.83;22.05;634
100755.11;22.05;635
100754.75;22.05;636
100754.75;22.05;637
100754.05;22.05;638
100754.05;22.05;639
100754.05;22.05;640
100753.34;22.05;641
100752.62;22.05;642
100751.92;22.05;643
100751.58;22.05;644
100750.88;22.05;645
100750.88;22.05;646
100750.17;22.05;647
100749.46;22.05;648
100749.46;22.05;649
100748.75;22.05;650
100748.05;22.05;651
100748.05;22.05;652
100747.34;22.05;653
100746.63;22.05;654
100745.92;22.05;655
100745.22;22.05;656
100745.22;22.05;657
100744.52;22.05;658
100743.80;22.05;659
100743.80;22.05;660
100743.10;22.05;661
100742.39;22.05;662
100741.69;22.05;663
100741.33;22.05;664
100740.62;22.05;665
100739.91;22.05;666
100739.91;22.05;667
100738.50;22.05;668
100738.50;22.05;669
100737.45;22.05;670
100737.45;22.05;671
100736.73;22.05;672
100736.73;22.05;673
100736.03;22.05;674
100736.03;22.05;675
100735.33;22.05;676
100734.62;22.05;677
100734.62;22.05;678
100733.91;22.05;679
100733.91;22.05;680
100733.55;22.05;681
100732.84;22.05;682
100732.14;22.05;683
100731.42;22.05;684
100730.72;22.05;685
100730.02;22.05;686
100729.30;22.05;687
100728.60;22.05;688
100728.60;22.05;689
100727.19;22.05;690
100727.19;22.05;691
100725.77;22.05;692
100725.77;22.05;693
100725.44;22.05;694
100725.44;22.05;695
100724.73;22.05;696
100724.73;22.05;697
100724.02;22.05;698
100723.31;22.05;699
100722.61;22.05;700
100722.61;22.05;701
100721.91;22.05;702
100721.20;22.05;703
100720.48;22.05;704
100720.48;22.05;705
100719.78;22.05;706
100719.45;22.05;707
100719.45;22.05;708
100718.37;22.05;709
100718.73;22.05;710
100718.37;22.05;711
100717.66;22.05;712
100717.66;22.05;713
100716.95;22.05;714
100716.62;22.05;715
100715.91;22.05;716
100715.20;22.05;717
100715.20;22.05;718
100714.50;22.05;719
100713.80;22.05;720
100714.16;22.06;721
100713.09;22.05;722
100712.38;22.05;723
100710.97;22.05;724
100710.26;22.05;725
100710.63;22.06;726
100708.84;22.05;727
100709.22;22.06;728
100708.52;22.06;729
100707.80;22.06;730
100707.80;22.06;731
100707.09;22.06;732
100707.09;22.06;733
100706.39;22.06;734
100706.77;22.06;735
100706.05;22.06;736
100705.34;22.06;737
100705.34;22.06;738
100705.34;22.06;739
100704.64;22.06;740
100703.94;22.06;741
100703.94;22.06;742
100704.31;22.06;743
100703.59;22.06;744
100703.59;22.06;745
100702.89;22.06;746
100702.89;22.06;747
100702.89;22.06;748
100702.19;22.06;749
100701.48;22.06;750
100701.84;22.06;751
100701.84;22.06;752
100701.14;22.06;753
100700.44;22.06;754
100700.44;22.06;755
100700.44;22.06;756
100699.73;22.06;757
100699.02;22.06;758
100698.69;22.07;759
100698.69;22.07;760
100697.98;22.07;761
100697.98;22.07;762
100697.64;22.07;763
100697.64;22.07;764
100696.94;22.07;765
100695.16;22.07;766
100695.52;22.07;767
100694.81;22.07;768
100695.52;22.07;769
100695.52;22.07;770
100695.52;22.07;771
100694.81;22.07;772
100694.11;22.07;773
100694.11;22.07;774
100694.11;22.07;775
100693.41;22.07;776
100693.75;22.07;777
100693.75;22.07;778
100693.75;22.07;779
100693.04;22.07;780
100693.04;22.07;781
100692.34;22.07;782
100692.34;22.07;783
100691.62;22.07;784
100691.62;22.07;785
100690.92;22.07;786
100690.22;22.07;787
100690.59;22.07;788
100690.59;22.07;789
100690.59;22.07;790
100690.25;22.08;791
100690.25;22.08;792
100689.54;22.08;793
100689.54;22.08;794
100689.54;22.08;795
100688.84;22.08;796
100688.84;22.08;797
100689.20;22.08;798
100688.50;22.08;799
100688.50;22.08;800
100688.50;22.08;801
100687.79;22.08;802
100687.79;22.08;803
100687.09;22.08;804
100686.38;22.08;805
100686.75;22.08;806
100686.05;22.08;807
100686.05;22.08;808
100685.34;22.08;809
100685.70;22.08;810
100685.70;22.08;811
100685.00;22.08;812
100685.00;22.08;813
100684.30;22.08;814
100684.30;22.08;815
100683.59;22.08;816
100683.95;22.09;817
100683.25;22.09;818
100682.55;22.09;819
100681.84;22.09;820
100681.84;22.09;821
100681.13;22.09;822
100680.42;22.09;823
100680.42;22.09;824
100679.72;22.09;825
100679.02;22.09;826
100678.67;22.09;827
100678.67;22.09;828
100677.97;22.09;829
100677.27;22.09;830
100677.27;22.09;831
100676.55;22.09;832
100675.84;22.09;833
100675.14;22.09;834
100674.44;22.09;835
100674.44;22.09;836
100674.07;22.09;837
100673.36;22.09;838
100672.66;22.09;839
100672.66;22.09;840
100671.95;22.09;841
100671.24;22.09;842
100671.24;22.09;843
100670.53;22.09;844
100669.83;22.09;845
100669.12;22.09;846
100669.12;22.09;847
100667.00;22.09;848
100667.38;22.09;849
100666.67;22.09;850
100665.95;22.09;851
100665.25;22.09;852
100665.25;22.09;853
100664.55;22.09;854
100663.84;22.09;855
100664.21;22.10;856
100664.21;22.10;857
100663.50;22.10;858
100662.80;22.10;859
100662.80;22.10;860
100662.46;22.10;861
100661.75;22.10;862
100661.75;22.10;863
100661.05;22.10;864
100661.05;22.10;865
100660.34;22.10;866
100659.63;22.10;867
100658.92;22.10;868
100658.59;22.10;869
100657.88;22.10;870
100657.88;22.10;871
100657.88;22.10;872
100657.17;22.10;873
100657.55;22.10;874
100656.84;22.10;875
100656.84;22.10;876
100656.13;22.10;877
100656.13;22.10;878
100656.51;22.11;879
100656.51;22.11;880
100655.80;22.11;881
100655.80;22.11;882
100655.09;22.11;883
100654.38;22.11;884
100654.76;22.11;885
100654.05;22.11;886
100654.05;22.11;887
100653.34;22.11;888
100653.34;22.11;889
100652.64;22.11;890
100651.93;22.11;891
100651.93;22.11;892
100651.93;22.11;893
100651.56;22.11;894
100651.56;22.11;895
100651.56;22.11;896
100651.56;22.11;897
100650.86;22.11;898
100650.16;22.11;899
100650.16;22.11;900
100650.52;22.11;901
100649.81;22.11;902
100649.81;22.11;903
100649.81;22.11;904
100649.48;22.12;905
100648.77;22.12;906
100648.06;22.12;907
100648.06;22.12;908
100647.36;22.12;909
100646.66;22.12;910
100646.31;22.12;911
100645.61;22.12;912
100645.61;22.12;913
100644.91;22.12;914
100644.91;22.12;915
100644.20;22.12;916
100644.56;22.12;917
100643.86;22.12;918
100643.86;22.12;919
100643.16;22.12;920
100643.86;22.12;921
100643.16;22.12;922
100642.45;22.12;923
100642.81;22.12;924
100642.11;22.12;925
100641.41;22.12;926
100641.41;22.12;927
100641.41;22.12;928
100640.70;22.12;929
100639.99;22.12;930
100639.66;22.13;931
100639.66;22.13;932
100639.66;22.13;933
100639.66;22.13;934
100638.95;22.13;935
100638.24;22.13;936
100638.61;22.13;937
100638.61;22.13;938
100638.61;22.13;939
100637.91;22.13;940
100637.20;22.13;941
100636.86;22.13;942
100636.86;22.13;943
100636.86;22.13;944
100636.16;22.13;945
100636.16;22.13;946
100635.80;22.13;947
100635.80;22.13;948
100635.09;22.13;949
100635.09;22.13;950
100634.38;22.13;951
100633.67;22.13;952
100634.05;22.14;953
100634.05;22.14;954
100634.05;22.14;955
100633.34;22.14;956
100633.34;22.14;957
100633.34;22.14;958
100633.34;22.14;959
100633.70;22.14;960
100633.00;22.14;961
100632.30;22.14;962
100632.30;22.14;963
100631.59;22.14;964
100631.59;22.14;965
100630.88;22.14;966
100630.88;22.14;967
100630.88;22.14;968
100630.17;22.14;969
100630.55;22.14;970
100629.84;22.14;971
100629.84;22.14;972
100629.13;22.14;973
100629.50;22.14;974
100629.50;22.14;975
100629.50;22.14;976
100628.80;22.14;977
100628.80;22.14;978
100628.09;22.14;979
100628.45;22.15;980
100627.75;22.15;981
100627.75;22.15;982
100628.12;22.15;983
100627.41;22.15;984
100627.41;22.15;985
100627.41;22.15;986
100627.41;22.15;987
100627.08;22.15;988
100627.08;22.15;989
100627.08;22.15;990
100627.08;22.15;991
100626.38;22.15;992
100626.38;22.15;993
100626.38;22.15;994
100626.01;22.15;995
100626.01;22.15;996
100626.01;22.15;997
100625.30;22.15;998
100625.30;22.15;999
100624.59;22.15;1000
100624.97;22.16;1001
100624.26;22.16;1002
100624.26;22.16;1003
100624.62;22.16;1004
100623.92;22.16;1005
100624.62;22.16;1006
100623.92;22.16;1007
100623.92;22.16;1008
100624.30;22.16;1009
100624.30;22.16;1010
100624.30;22.16;1011
100624.30;22.16;1012
100624.30;22.16;1013
100623.96;22.16;1014
100623.25;22.16;1015
100623.25;22.16;1016
100622.55;22.16;1017
100622.55;22.16;1018
100622.55;22.16;1019
100622.91;22.17;1020
100622.91;22.17;1021
100622.21;22.17;1022
100622.21;22.17;1023
100622.21;22.17;1024
100622.21;22.17;1025
100622.21;22.17;1026
100621.50;22.17;1027
100621.88;22.17;1028
100621.88;22.17;1029
100621.88;22.17;1030
100621.88;22.17;1031
100621.88;22.17;1032
100621.53;22.17;1033
100620.83;22.17;1034
100620.83;22.17;1035
100621.53;22.17;1036
100621.20;22.17;1037
100621.20;22.17;1038
100621.20;22.17;1039
100621.20;22.17;1040
100620.49;22.17;1041
100620.84;22.18;1042
100620.84;22.18;1043
100621.55;22.18;1044
100620.84;22.18;1045
100621.55;22.18;1046
100621.20;22.18;1047
100621.91;22.18;1048
100621.91;22.18;1049
100622.28;22.18;1050
100621.58;22.18;1051
100622.28;22.18;1052
100621.58;22.18;1053
100621.58;22.18;1054
100621.58;22.18;1055
100621.95;22.18;1056
100621.95;22.18;1057
100621.95;22.18;1058
100621.95;22.18;1059
100622.32;22.19;1060
100622.32;22.19;1061
100621.61;22.19;1062
100621.61;22.19;1063
100620.91;22.19;1064
100621.98;22.19;1065
100621.28;22.19;1066
100621.28;22.19;1067
100620.57;22.19;1068
100620.57;22.19;1069
100620.23;22.19;1070
100620.23;22.19;1071
100620.23;22.19;1072
100620.23;22.19;1073
100619.53;22.19;1074
100619.53;22.19;1075
100619.90;22.19;1076
100619.90;22.19;1077
100619.90;22.19;1078
100619.19;22.19;1079
100619.53;22.20;1080
100619.53;22.20;1081
100619.53;22.20;1082
100618.83;22.20;1083
100619.20;22.20;1084
100619.20;22.20;1085
100618.49;22.20;1086
100618.49;22.20;1087
100617.78;22.20;1088
100618.16;22.20;1089
100617.45;22.20;1090
100617.45;22.20;1091
100617.45;22.20;1092
100616.74;22.20;1093
100616.03;22.20;1094
100616.41;22.20;1095
100616.41;22.20;1096
100616.41;22.20;1097
100616.07;22.21;1098
100616.07;22.21;1099
100616.07;22.21;1100
100615.36;22.21;1101
100615.36;22.21;1102
100614.66;22.21;1103
100614.66;22.21;1104
100615.03;22.21;1105
100615.03;22.21;1106
100615.03;22.21;1107
100615.03;22.21;1108
100615.03;22.21;1109
100614.69;22.21;1110
100614.69;22.21;1111
100614.69;22.21;1112
100614.69;22.21;1113
100615.06;22.21;1114
100615.06;22.21;1115
100615.06;22.21;1116
100614.35;22.21;1117
100614.35;22.21;1118
100614.70;22.22;1119
100614.70;22.22;1120
100613.98;22.22;1121
100615.06;22.22;1122
100615.06;22.22;1123
100614.36;22.22;1124
100614.73;22.22;1125
100614.73;22.22;1126
100614.73;22.22;1127
100613.31;22.22;1128
100613.31;22.22;1129
100613.69;22.22;1130
100612.98;22.22;1131
100612.98;22.22;1132
100613.35;22.23;1133
100612.65;22.23;1134
100612.65;22.23;1135
100612.65;22.23;1136
100612.65;22.23;1137
100613.02;22.23;1138
100613.02;22.23;1139
100612.31;22.23;1140
100612.31;22.23;1141
