time;19:45:00
 99677.52;20.81;452
 99670.38;20.80;453
 99658.70;20.79;454
 99653.48;20.79;455
 99643.41;20.80;456
 99637.19;20.81;457
 99628.89;20.82;458
 99625.81;20.82;459
 99622.72;20.83;460
 99620.30;20.83;461
 99613.69;20.84;462
 99608.72;20.83;463
 99604.17;20.83;464
 99598.19;20.83;465
 99595.39;20.83;466
 99590.81;20.82;467
 99586.61;20.82;468
 99582.02;20.82;469
 99580.27;20.82;470
 99576.71;20.81;471
 99573.53;20.81;472
 99571.78;20.81;473
 99569.58;20.80;474
 99566.05;20.80;475
 99561.47;20.80;476
 99553.36;20.79;477
 99547.38;20.79;478
 99541.02;20.78;479
 99530.48;20.78;480
 99521.32;20.77;481
 99512.56;20.77;482
 99500.61;20.76;483
 99486.26;20.76;484
 99475.70;20.76;485
 99464.12;20.75;486
 99453.59;20.75;487
 99437.80;20.75;488
 99426.23;20.74;489
 99413.28;20.74;490
 99396.48;20.74;491
 99385.28;20.74;492
 99374.09;20.74;493
 99363.53;20.74;494
 99345.34;20.74;495
 99337.70;20.74;496
 99328.62;20.75;497
 99320.61;20.75;498
 99308.66;20.74;499
 99297.11;20.74;500
 99285.91;20.74;501
 99267.33;20.74;502
 99255.76;20.74;503
 99242.78;20.73;504
 99225.64;20.73;505
 99199.04;20.73;506
 99185.39;20.73;507
 99172.16;20.74;508
 99162.36;20.74;509
 99144.17;20.74;510
 99133.34;20.74;511
 99125.30;20.74;512
 99110.67;20.75;513
 99103.00;20.75;514
 99093.20;20.75;515
 99084.80;20.75;516
 99075.77;20.76;517
 99070.17;20.76;518
 99064.57;20.76;519
 99058.97;20.76;520
 99053.38;20.76;521
 99050.19;20.76;522
 99043.48;20.75;523
 99037.52;20.75;524
 99023.42;20.74;525
 99015.03;20.74;526
 99003.83;20.74;527
 98989.55;20.74;528
 98979.84;20.75;529
 98970.80;20.76;530
 98961.73;20.76;531
 98948.11;20.77;532
 98942.14;20.76;533
 98932.63;20.76;534
 98922.83;20.76;535
 98907.44;20.76;536
 98894.55;20.76;537
 98882.72;20.77;538
 98865.25;20.77;539
 98851.63;20.78;540
 98839.68;20.77;541
 98830.55;20.77;542
 98814.78;20.76;543
 98803.97;20.77;544
 98794.25;20.78;545
 98782.47;20.79;546
 98765.52;20.81;547
 98754.03;20.82;548
 98740.77;20.82;549
 98721.92;20.83;550
 98706.53;20.83;551
 98692.53;20.83;552
 98678.53;20.83;553
 98662.77;20.82;554
 98650.17;20.82;555
 98637.57;20.82;556
 98625.35;20.83;557
 98606.41;20.82;558
 98592.06;20.82;559
 98578.41;20.82;560
 98565.17;20.83;561
 98542.11;20.83;562
 98526.06;20.84;563
 98511.41;20.84;564
 98490.41;20.84;565
 98476.06;20.84;566
 98461.70;20.84;567
 98450.50;20.84;568
 98435.48;20.84;569
 98423.23;20.84;570
 98414.19;20.85;571
 98401.22;20.84;572
 98386.20;20.85;573
 98371.83;20.84;574
 98359.23;20.84;575
 98337.52;20.84;576
 98324.92;20.84;577
 98308.12;20.84;578
 98290.97;20.84;579
 98263.34;20.84;580
 98241.69;20.84;581
 98219.67;20.85;582
 98199.05;20.85;583
 98165.81;20.85;584
 98143.08;20.85;585
 98121.71;20.85;586
 98090.93;20.85;587
 98069.94;20.85;588
 98052.77;20.84;589
 98034.95;20.85;590
 98008.37;20.85;591
 97989.43;20.84;592
 97972.95;20.83;593
 97953.66;20.83;594
 97922.88;20.83;595
 97904.69;20.83;596
 97880.16;20.82;597
 97851.83;20.82;598
 97836.44;20.82;599
 97822.07;20.82;600
 97806.30;20.81;601
 97782.83;20.81;602
 97763.23;20.81;603
 97743.25;20.80;604
 97721.17;20.80;605
 97696.30;20.79;606
 97680.84;20.78;607
 97666.11;20.77;608
 97652.80;20.77;609
 97636.31;20.76;610
 97623.73;20.76;611
 97613.56;20.76;612
 97594.69;20.76;613
 97579.68;20.77;614
 97566.06;20.77;615
 97552.08;20.77;616
 97533.14;20.76;617
 97520.20;20.76;618
 97504.08;20.76;619
 97488.69;20.76;620
 97466.30;20.76;621
 97448.12;20.76;622
 97429.56;20.75;623
 97403.30;20.75;624
 97386.45;20.74;625
 97371.38;20.73;626
 97352.45;20.72;627
 97323.77;20.72;628
 97307.29;20.71;629
 97291.91;20.71;630
 97277.17;20.71;631
 97253.70;20.70;632
 97239.35;20.70;633
 97223.97;20.70;634
 97196.00;20.70;635
 97179.22;20.70;636
 97162.06;20.69;637
 97143.16;20.69;638
 97115.85;20.68;639
 97099.44;20.69;640
 97085.08;20.68;641
 97070.08;20.69;642
 97049.47;20.69;643
 97034.45;20.69;644
 97023.27;20.69;645
 97006.48;20.69;646
 96996.70;20.69;647
 96983.00;20.68;648
 96972.50;20.68;649
 96960.22;20.67;650
 96951.47;20.67;651
 96941.30;20.67;652
 96932.91;20.67;653
 96919.30;20.67;654
 96906.72;20.67;655
 96897.95;20.67;656
 96885.69;20.66;657
 96863.62;20.65;658
 96847.19;20.65;659
 96829.02;20.65;660
 96797.59;20.66;661
 96778.68;20.65;662
 96761.55;20.65;663
 96745.80;20.65;664
 96722.03;20.65;665
 96706.66;20.65;666
 96694.08;20.65;667
 96680.45;20.65;668
 96659.48;20.65;669
 96646.91;20.65;670
 96635.72;20.65;671
 96622.03;20.64;672
 96610.79;20.63;673
 96600.30;20.63;674
 96591.53;20.63;675
 96579.33;20.63;676
 96569.53;20.63;677
 96557.61;20.62;678
 96547.17;20.63;679
 96527.27;20.64;680
 96515.43;20.64;681
 96504.95;20.65;682
 96492.42;20.66;683
 96487.91;20.66;684
 96483.05;20.67;685
 96474.66;20.67;686
 96463.84;20.67;687
 96450.89;20.67;688
 96438.31;20.67;689
 96427.12;20.67;690
 96410.72;20.67;691
 96397.77;20.67;692
 96385.55;20.67;693
 96368.77;20.67;694
 96343.23;20.67;695
 96322.27;20.67;696
 96305.48;20.67;697
 96275.77;20.67;698
 96254.42;20.66;699
 96239.05;20.66;700
 96219.47;20.66;701
 96195.70;20.66;702
 96183.12;20.66;703
 96174.03;20.66;704
 96167.37;20.65;705
 96158.25;20.65;706
 96150.89;20.64;707
 96145.30;20.64;708
 96130.98;20.64;709
 96118.40;20.64;710
 96106.84;20.64;711
 96093.23;20.64;712
 96071.90;20.64;713
 96060.39;20.65;714
 96049.94;20.65;715
 96043.66;20.66;716
 96040.53;20.66;717
 96041.64;20.67;718
 96043.38;20.67;719
 96043.41;20.68;720
 96039.95;20.69;721
 96036.79;20.69;722
 96030.83;20.68;723
 96015.45;20.68;724
 95999.73;20.68;725
 95984.70;20.68;726
 95970.72;20.68;727
 95947.32;20.69;728
 95930.18;20.68;729
 95916.57;20.69;730
 95903.32;20.69;731
 95886.22;20.70;732
 95876.80;20.70;733
 95868.75;20.70;734
 95857.93;20.71;735
 95852.70;20.71;736
 95848.52;20.71;737
 95841.52;20.71;738
 95825.11;20.71;739
 95814.59;20.71;740
 95804.11;20.70;741
 95792.92;20.70;742
 95767.77;20.70;743
 95753.42;20.70;744
 95743.27;20.70;745
 95735.91;20.69;746
 95733.48;20.70;747
 95732.09;20.70;748
 95731.05;20.70;749
 95733.16;20.70;750
 95731.75;20.70;751
 95730.02;20.70;752
 95726.86;20.70;753
 95722.27;20.69;754
 95726.09;20.68;755
 95724.36;20.68;756
 95720.20;20.69;757
 95712.15;20.69;758
 95704.12;20.70;759
 95693.98;20.69;760
 95683.86;20.69;761
 95675.77;20.68;762
 95672.98;20.68;763
 95661.45;20.68;764
 95650.98;20.69;765
 95639.46;20.69;766
 95631.48;20.71;767
 95622.76;20.72;768
 95606.35;20.72;769
 95592.73;20.72;770
 95580.83;20.71;771
 95564.75;20.71;772
 95553.90;20.70;773
 95546.91;20.70;774
 95541.98;20.70;775
 95536.03;20.69;776
 95533.59;20.70;777
 95530.80;20.70;778
 95527.30;20.69;779
 95525.18;20.69;780
 95525.52;20.68;781
 95523.39;20.67;782
 95520.92;20.67;783
 95521.62;20.66;784
 95524.05;20.66;785
 95525.45;20.66;786
 95530.00;20.66;787
 95534.20;20.66;788
 95538.39;20.66;789
 95539.78;20.66;790
 95545.72;20.66;791
 95548.88;20.67;792
 95553.07;20.67;793
 95560.06;20.67;794
 95567.74;20.66;795
 95574.36;20.66;796
 95579.23;20.65;797
 95585.52;20.65;798
 95588.31;20.65;799
 95591.77;20.64;800
 95597.03;20.64;801
 95606.08;20.64;802
 95610.97;20.63;803
 95615.16;20.63;804
 95621.78;20.63;805
 95627.01;20.63;806
 95630.84;20.62;807
 95635.39;20.63;808
 95636.80;20.63;809
 95636.42;20.62;810
 95637.12;20.62;811
 95639.92;20.62;812
 95642.72;20.62;813
 95648.67;20.62;814
 95654.27;20.62;815
 95658.79;20.62;816
 95668.23;20.62;817
 95674.50;20.62;818
 95680.08;20.62;819
 95690.23;20.62;820
 95696.53;20.62;821
 95702.85;20.63;822
 95708.80;20.63;823
 95718.22;20.63;824
 95726.61;20.63;825
 95733.96;20.63;826
 95741.66;20.64;827
 95750.73;20.63;828
 95753.16;20.63;829
 95750.38;20.63;830
 95745.14;20.63;831
 95738.49;20.63;832
 95730.47;20.64;833
 95717.89;20.64;834
 95699.69;20.63;835
 95692.00;20.62;836
 95682.21;20.62;837
 95671.70;20.62;838
 95654.23;20.61;839
 95639.16;20.60;840
 95628.70;20.61;841
 95613.03;20.63;842
 95602.58;20.63;843
 95591.07;20.64;844
 95579.56;20.65;845
 95565.62;20.66;846
 95557.23;20.66;847
 95546.05;20.66;848
 95534.86;20.66;849
 95519.12;20.65;850
 95506.55;20.65;851
 95493.97;20.65;852
 95478.95;20.66;853
 95466.75;20.66;854
 95456.96;20.66;855
 95445.41;20.66;856
 95428.64;20.66;857
 95416.06;20.66;858
 95403.86;20.66;859
 95391.28;20.66;860
 95373.11;20.66;861
 95361.56;20.66;862
 95350.74;20.66;863
 95336.77;20.66;864
 95320.33;20.65;865
 95310.86;20.64;866
